SS,FSR,FQE,FRU,PU,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,insti_id,rank,domain,OE+MIR
13.34,16.96,10.01,10.67,17.94,11.0,0.13,21.32,15.0,12.41,3.49,16.52,25.32,0.95,20.0,541.0,IR-E-U-0373,89,Engineering,
14.0,18.25,11.03,17.88,10.05,2.0,425.0,35.13,15.0,15.04,2.52,191.0,23.47,5.51,20.0,28.82,IR-E-U-1257,90,Engineering,
16.5,30.0,18.28,887.0,8.57,3.0,0.06,30.48,15.0,9.61,0.7,8.1,29.86,7.0,20.0,8.76,IR-E-C-19754,91,Engineering,
3.78,27.38,16.57,20.97,13.01,1.0,9.78,20.75,10.66,19.13,158.0,919.0,17.83,0.0,20.0,445.0,IR-E-U-0297,92,Engineering,
11.22,17.69,10.31,8.36,19.64,125.0,3.37,27.72,12.61,13.1,3.36,19.98,21.08,242.0,20.0,15.75,IR-E-U-0078,93,Engineering,
15.5,30.0,15.53,14.14,8.86,1.0,2.0,22.89,15.0,9.87,185.0,8.89,30.0,8.7,20.0,787.0,IR-E-U-0017,94,Engineering,
16.5,30.0,1741.0,13.65,2.48,2.0,0.46,31.6,15.0,10.72,2.22,16.81,29.39,5.39,20.0,11.86,IR-E-C-30045,95,Engineering,
8.02,22.19,15.14,15.19,8.46,0.0,114.0,38.91,15.0,21.59,1.69,21.38,14.75,2.59,20.0,847.0,IR-E-U-0267,96,Engineering,
13.0,18.24,12.4,11.67,13.63,125.0,1.07,3241.0,15.0,13.89,433.0,12.32,16.52,8.73,20.0,934.0,IR-E-U-0189,97,Engineering,
15.5,19.89,13.28,12.47,15.34,4.0,0.84,30.74,15.0,11.6,1.06,2.55,14.86,146.0,20.0,4.12,IR-E-U-0147,98,Engineering,
8.68,22.4,15.21,14.3,9.72,2.25,131.0,30.33,15.0,13.44,3.09,14.64,18.24,10.85,20.0,12.13,IR-E-U-0621,99,Engineering,
14.0,28.9,12.78,12.79,9.4,2.5,0.51,36.08,15.0,11.44,0.89,2.63,23.07,3.55,20.0,697.0,IR-E-C-36995,100,Engineering,
17.0,23.15,16.69,20.0,32.94,14.0,10.88,,60.0,,27.01,2141.0,14.57,7.66,20.0,100.0,IR-O-U-0456,1,Overall,13.75
12.5,25.0,18.69,19.78,35.0,13.0,9.28,,37.79,,25.9,23.61,13.16,3.52,20.0,98.41,IR-O-U-0220,2,Overall,10.5
17.0,22.48,16.97,15.21,31.26,14.0,24.0,,56.01,,30.02,19.14,15.62,5.37,20.0,83.35,IR-O-U-0306,3,Overall,12.13
15.24,21.12,16.83,15.76,33.55,13.0,,,48.16,,26.55,20.53,15.76,725.0,20.0,92.23,IR-O-I-1074,4,Overall,11.56
16.77,23.9,19.32,14.93,27.93,12.0,633.0,,60.0,,22.01,18.95,14.22,721.0,20.0,72.56,IR-O-I-1075,5,Overall,11.44
17.55,18.8,15.13,11.88,29.46,7.0,458.0,,51.39,,30.13,20.81,13.95,5.88,20.0,69.51,IR-O-U-0573,6,Overall,14.38
16.32,18.64,14.73,,29.44,8.0,541.0,,60.0,,22.9,24.18,13.41,736.0,20.0,51.24,IR-O-U-0560,7,Overall,11.63
11.0,25.0,17.39,20.0,31.62,2.25,438.0,,60.0,,8.65,21.94,28.54,44.0,20.0,75.4,IR-O-N-15,8,Overall,2.25
16.69,25.0,16.89,11.69,2145.0,2.5,0.96,,60.0,,39.93,24.44,27.22,716.0,20.0,54.13,IR-O-U-0109,9,Overall,5.25
19.36,21.77,17.42,11.37,21.4,2.25,3.39,,60.0,,35.42,12.68,29.21,4.07,20.0,47.63,IR-O-U-0500,10,Overall,6.5
16.88,18.23,12.64,9.9,28.01,9.0,3.86,,60.0,,22.12,25.07,11.58,6.08,20.0,4352.0,IR-O-U-0053,11,Overall,10.63
12.42,24.98,19.8,13.41,25.56,5.0,2.92,,60.0,,13.89,18.41,15.6,455.0,20.0,54.35,IR-O-U-0013,12,Overall,9.5
15.99,25.0,15.84,10.98,21.53,2.5,2.94,,60.0,,32.56,23.37,30.0,10.46,20.0,29.47,IR-O-U-0108,13,Overall,6.0
18.93,25.0,17.56,11.95,23.8,7.0,5.03,,60.0,,18.52,18.66,28.41,0.94,20.0,20.28,IR-O-U-0234,14,Overall,6.0
18.45,16.02,13.01,8.79,27.38,2.0,152.0,,56.94,,40.0,20.36,28.83,0.97,20.0,40.55,IR-O-U-0120,15,Overall,438.0
17.46,22.82,16.75,10.38,23.89,8.0,627.0,,60.0,,17.74,21.21,20.09,0.12,20.0,2741.0,IR-O-U-0391,16,Overall,475.0
18.69,25.0,18.17,10.0,19.88,7.0,3.59,,60.0,,21.91,21.86,27.06,2.5,20.0,30.67,IR-O-U-0436,17,Overall,5.0
17.46,24.41,18.24,638.0,22.61,450.0,2.22,,57.67,,30.14,2.63,23.73,5.98,20.0,44.1,IR-O-U-0575,18,Overall,5.3
18.4,23.25,16.73,9.74,20.67,2.25,156.0,,60.0,,33.79,10.48,26.85,725.0,20.0,26.77,IR-O-U-0496,19,Overall,3.38
