insti_ID,nirf_year,domain,fin_year,library,equipment,workshops,studios,capital_assets,salaries,maintenance,seminars,research_amount,consultancy_amount,sponsored_projects,funding_agencies
IR-E-U-0379,2025,Engineering,2022-23,56387390.0,36741692.0,128770.0,,,,,,15439395.0,23594614.0,318.0,22.0
IR-E-U-0379,2025,Engineering,2021-22,17266195.0,14509224.0,0.0,,,,,,18735503.0,20815364.0,74.0,12.0
IR-E-U-0577,2025,Engineering,2023-24,27594000.0,34653626.0,0.0,,,1346277937.0,336276063.0,1134096.0,194883283.0,30267837.0,135.0,25.0
IR-E-U-0577,2025,Engineering,2022-23,50204938.0,90244980.0,0.0,,,1132043313.0,389765365.0,846724.0,198400199.0,29756368.0,155.0,34.0
IR-E-U-0577,2025,Engineering,2021-22,44522568.0,52083144.0,1250000.0,,,1098033571.0,409227504.0,2044770.0,142172532.0,21777093.0,129.0,20.0
IR-E-U-0055,2025,Engineering,2023-24,52186849.0,77580942.0,29587637.0,,,890373102.0,521900561.0,29587637.0,156287183.0,16200457.0,82.0,29.0
IR-E-U-0055,2025,Engineering,2022-23,48461935.0,73671825.0,27954134.0,,,807348905.0,445997512.0,27954134.0,124431536.0,10567737.0,56.0,23.0
IR-E-U-0055,2025,Engineering,2021-22,44063602.0,69765676.0,17602092.0,,,687260400.0,420066763.0,17602092.0,115848880.0,6929084.0,32.0,11.0
IR-E-U-0202,2025,Engineering,2023-24,35284852.0,256623042.0,3331318.0,,,1196253076.0,350118470.0,3331318.0,145789683.0,48280012.0,,
IR-E-U-0202,2025,Engineering,2022-23,26550231.0,150421291.0,6824995.0,,,1051838446.0,297255363.0,6824995.0,67410204.0,37882827.0,,
IR-E-U-0202,2025,Engineering,2021-22,39805755.0,94116444.0,770615.0,,,837287017.0,228608804.0,770615.0,71306087.0,3046468.0,,
IR-E-U-0555,2025,Engineering,2023-24,60474868.0,5784450.0,8146682.0,,,669728471.0,362141597.0,8146682.0,9409282.0,6169426.0,,
IR-E-U-0555,2025,Engineering,2022-23,10959217.0,46107863.0,4543271.0,,,456266488.0,295646204.0,4543271.0,5482266.0,171220789.0,,
IR-E-U-0555,2025,Engineering,2021-22,13756700.0,295497314.0,2076478.0,,,380782000.0,607590315.0,2076478.0,10524312.0,23700000.0,,
